Name,Library Type,Account Type,Account Status,Maori Name,Symbol,Street Address,Postal Address,Web Address,Main phone,Main Fax,Email,Notes,Alternative Names,NZ Int scheme member,Special Memberships,Manager,Library Manager Title,Manager email,Library Manager Fax,Library Manager Phone,Interloan Librarian,Interloan Librarian Title,Email interloan,Phone interloan,Fax interloan,Alt Interloan Librarian,Alt Interloan Librarian Title,Alt Email interloan,Alt Phone interloan,Alt Fax interloan,Reciprocal Arrangements,Te Puna int member,Status in NZ IL Scheme,Library Status,IBS member,Std Loan standard charge,Std Loan International Charge,Std Copy Standard Charge,Std Copy International Charge,Std Notes,International Notes,Urgent loan Standard Charge,Urgent Loan International Charge,Urgent Copy Standard Charge,Urgent Copy International Charge,City,Region,Latitude,Longitude
"Stratford & District Centennial Library","Public","Public Library","Active","","SP","Prospero Place, , Stratford","PO Box 320, , Stratford - 4352","http://www.stratford.govt.nz/content.php/article/library/m/67","+64 6 765 5403","+64 6 765 7150","library@stratford.govt.nz","","","T","","Jonet Moore","Library Manager","library@stratford.govt.nz","+64 6 765 7150","+64 6 765 5403","Sally Caskey","Interloans Contact","scaskey@stratford.govt.nz","+64 6 765 5403","","","","","","","T","T","T","Charter","T","14","20","14","20","Reciprocal arrangements by agreement.","","14","30","14","30","Stratford","Taranaki","-39.3396394338613","174.284139404378",
"University of the South Pacific Library","Tertiary","University","Active","","SUU","University of the South Pacific, , Suva","University of the South Pacific Library, , Suva -","http://www.usp.ac.fj","+679 3212 287","+679 3000 830","interloan@usp.ac.fj","","South Pacific University Library","F","","Elizabeth Fong","Deputy University Librarian (Customer Services)","fong_e@usp.ac.fj or interloan@usp.ac.fj","+679 3231 528","+679 3212 363","Denise Rosenblatt","Interloans Librarian","interloan@usp.ac.fj","+679 3212 287","","","","","","","F","F","F","tba","F","","","","","","","","","","","Suva","","-18.123665","178.459511",
"Wolters Kluwer Pharma Solutions, Adis International Ltd, Knowledge and Information Management","Other","Health","Active","","TAKA","41 Centorian Drive, Mairangi Bay, North Shore City","Private Bag 65 901, , North Shore City - 0754","www.adisonline.com","+64 9 477 0700","+64 9 477 0783","interloans@adis.co.nz","","Adis International Ltd, Wolters Kluwer Pharma Solutions, Knowledge and Information Management","F","HealthLibs Network","Jo Grant","Manager","jo.grant@wolterskluwer.com","+64 9 477 0783","+64 9 477 0700 x 7116","Jean Kelly","Document Supply Team Leader","jean.kelly@wolterskluwer.com","+64 9 477 0700 x 7117","","","","","","","F","F","F","tba","F","","","","","","","","","","","North Shore City","","-36.7432286290134","174.736006477822",
"UnitedNetworks Library","Other","Business","Active","","TAKE","101 Carlton Gore Road, Newmarket, Auckland","PO Box 99882, , Auckland -","","+64 9 919 4804","+64 9 919 4277","cathy.heath@unitednetworks.co.nz","","","F","","Cathy Heath","Records and Library Manager","cathy.heath@unitednetworks.co.nz","+64 9 919 4277","+64 9 919 4804","Cathy Heath","Records and Library Manager","cathy.heath@unitednetworks.co.nz","+64 9 919 4804","","","","","","","F","F","F","tba","F","","","","","","","","","","","Auckland","Auckland","-36.8648883433529","174.774926755223",
"Tasman District Libraries","Public","public library","Active","","TASP","280 Queen Street, , Richmond, Nelson","Private Bag 3, , Richmond, Nelson - 7050","http://tasman.kotui.org.nz","+64 3 543 8500","+64 3 543 8470","interloan@tasman.govt.nz","DVDs, Audiobooks and items which have been in the lending collections for less than six months are not available for Interlibrary loan.","","T","","Glennis Coote","Libraries Manager","glennis.coote@tasman.govt.nz","+64 3 543 8470","+64 3 543 8500","Louise Gribbon","Assistant Librarian Information Services","interloan@tasman.govt.nz","+64 3 543 8500","","","","","","","T","T","T","Charter","T","14","24","14","14","","","24","38","24","38","Nelson","Nelson","-41.3380462274622","173.183332992925",
"Tasman District Libraries: Motueka","","","Active","","TASPM",", , Motueka","Motueka Public Library, 12 Pah Street, Motueka - 7120","http://www.tasmanlibraries.govt.nz/","03 528 1047","03 528 1047","","Branch of Tasman District Libraries TASP. Requesting only. Supplying is done by TASP.","","F","","0","","","","","Sandee Boyd","","sandee.boyd@tasman.govt.nz","","","","","","","","","F","F","tba","F","14","24","14","14","","","24","38","24","38","Motueka","","","",
"Bay of Plenty District Health Board, Tauranga Hospital Library","Other","Health","Active","","TAUM","840 Cameron Road, Tauranga Hospital, Tauranga","Private Bag 12 024, , Tauranga - 3143","","+64 7 579 8687","+64 7 571 6043","library@bopdhb.govt.nz","","Tauranga Hospital Library, Bay of Plenty District Health Board","T","HealthLibs Network, EPIC","Raewyn Adams","Librarian","raewyn.adams@bopdhb.govt.nz","+64 7 571 6043","+64 7 579 8687","Lynley Whitaker","Interloans Librarian","library@bopdhb.govt.nz","+64 7 579 8687","","","","","","","T","T","T","Charter","T","15","15","15","15","No charge to HealthLib network members.","","20","20","20","20","Tauranga","Bay of Plenty","-37.7079751957279","176.149462850158",
"Tauranga City Libraries","Public","public library","Active","Te Ao Märama","TAUP","cnr Willow & Wharf Streets, , Tauranga","Private Bag 12 022, , Tauranga - 3143","www.library.tauranga.govt.nz","+64 7 577 7177","+64 7 578 6787","reference@tauranga.govt.nz","","","T","","Jill Best","Manager: Libraries","Jill.Best@tauranga.govt.nz","+64 7 578 6787","+64 7 577 7117","Olive Stanyer","Interloans Librarian","reference@tauranga.govt.nz","+64 7 577 7255","","","","","","","T","T","T","Charter","T","14","30","14","30","","","14","30","14","30","Tauranga","Bay of Plenty","-37.6832","176.1696",
"Bethlehem Institute Library","Tertiary","Tertiary","Active","Te Whare Tauira o Peterehema","TAUT","24 Elder Lane, , Tauranga","Private Bag 12015, , Tauranga - 3143","http://bethlehem.ac.nz.libguides.com/content.php?pid=82994","+64 7 579 1702","+64 7 579 1882","library@bti.ac.nz","","Lesley Brighting","T","TEL-SIG (Tertiary Libraries Special Interest Group)","David Osman","Library Manager","d.osman@bti.ac.nz","+64 7 579 1882","+64 7 579 1737","David Osman","Library Manager","d.osman@bti.ac.nz","+64 7 579 1737","","","","","","","F","T","T","Non-Charter","T","","","","","","","","","","","Tauranga","Bay of Plenty","-37.7047754409894","176.113539130356",
"Bay of Plenty Polytechnic Library","Tertiary","Polytechnic","Active","Te Puna Matauranga","TAUY","Windermere Drive, Poike, Tauranga","Private Bag 12001, Tauranga Mail Centre, Tauranga - 3143","http://library.boppoly.ac.nz","+64 7 571 0190 x 7093","+64 7 544 2386","interloans@boppoly.ac.nz","Items accessioned in last six months, interloaned at the discretion of the library manager.","BOP Polytechnic Library","T","","Lee Rowe","Kaiarahi Ako Atea- Team Leader Learning Commons","lee.rowe@boppoly.ac.nz","+64 7 544 2386","+64 7 571 0190 x 6733","Jennifer Smith","Technical Services Librarian","interloans@boppoly.ac.nz","+64 7 571 0190 x 7093","","","","","","","T","T","T","Charter","T","14","14","14","14","Reciprocal Arrangements","","20","34","20","34","Tauranga","Bay of Plenty","-37.7365275236959","176.150209793111",
"Aoraki Polytechnic Library","Tertiary","Polytechnic","Active","","TCY","32 Arthur Street, , Timaru","Private Bag 902, , Timaru - 7940","","+64 3 687 1803","+64 3 687 1806","library@aoraki.ac.nz","","","T","","Angela Spence","Library Manager","angela.spence@aoraki.ac.nz","+64 3 687 1806","+64 3 687 1855","Steve Hyman","Interloans Librarian","library@aoraki.ac.nz","+64 3 687 1803","","","","","","","T","T","T","Non-Charter","F","","","","","","","","","","","Timaru","Canterbury","-44.3993","171.2445",
"Waitomo District Library","Public","public library","Active","","TEKP","Taupiri Street, , Te Kuiti","Taupiri Street, , Te Kuiti - 3910","http://www.waitomo.govt.nz/community-service/facilities/waitomo-district-library/","+64 7 878 1028","+64 7 878 1028","library@waitomo.govt.nz","","","T","","Helen Beever","Library Manager","helenb@waitomo.govt.nz","+64 7 878 1028","+64 7 8780800","Julie O'Toole","","Julie.O'Toole@waitomo.govt.nz","+64 7 878 1028","","","","","","","T","T","T","Charter","T","14","14","14","14","Reciprocal Arrangements","","14","14","14","14","Te Kuiti","Waikato","-38.3357351516893","175.167954632441",
"Western Bay of Plenty District Libraries","Public","Public Library","Active","","TEPP","130 Jellicoe Street, , Te Puke","130 Jellicoe Street, , Te Puke - 3119","www.westernbay.govt.nz","+64 7 571 8008","","Interloans@westernbay.govt.nz","","Te Puke Public Library","T","","Barbara Whitton","Customer Services Manager","barbara.whitton@westernbay.govt.nz","+64 7 573 6728","+64 7 573 6781","Gael Hodgson","Interloans Librarian","Interloans@westernbay.govt.nz","+64 7 571 8008","","","","","","","T","T","T","Charter","T","","14","","14","","","","14","","14","Te Puke","Bay of Plenty","-37.7834163095756","176.325550113932",
"Thames Public Library","Public","Public Library","Active","","THP","503 Mackay Street, , Thames","503 Mackay Street, , Thames - 3500","http://www.tcdc.govt.nz/Library/","+64 7 868 6616","+64 7 868 5042","thames.library@xtra.co.nz","","","T","","Linda Hayfield","Library Manager","linda.hayfield@tcdc.govt.nz","+64 7 868 5042","+64 7 868 6616","Hunsa Newland","Interloans Librarian","hunsa.newland@tcdc.govt.nz","+64 7 868 6616","","","","","","","T","T","T","Charter","T","14","14","14","14","Charge only if charged.","","14","20","14","20","Thames","Waikato","-37.1392305008975","175.543696532334",
"South Canterbury District Health Board, Staff Library","Other","Health","Active","","TM","14 Queen Street, , Timaru","Private Bag 911, , Timaru - 7940","http://www.scdhb.health.nz","+64 3 687 2396","+64 3 687 2360","library@scdhb.health.nz","Library staffed 9.00-2.00 Mon-Thurs.","Health South Canterbury, Staff Library","T","","Bronwyn Fleming","Library Manager","library@scdhb.health.nz","+64 3 687 2360","+64 3 687 2396","Bronwyn Fleming","Library Manager","library@scdhb.health.nz","+64 3 687 2396","","","","","","","F","T","T","Charter","F","14","14","14","14","","","24","24","24","24","Timaru","Canterbury","-44.408044091234","171.256050803383",
"Ruapehu District Libraries","Public","public library","Active","","TMP","Hakiaha Street, , Taumarunui","Hakiaha Street, , Taumarunui - 3920","http://www.ruapehudc.govt.nz/Site/A_-_Z_Index/Library_Services.ashx","+64 7 895 7538","+64 7 895 7538","fiona@ruapehu.govt.nz","","Taumarunui Public Library","T","","Fiona Thomas","Community Librarian","fiona@ruapehudc.govt.nz","+64 7 8957538","+64 7 8957538","Kamu Lala","Senior Librarian","kamu@ruapehudc.govt.nz","+64 7 8957538","","","","","","","T","T","T","Charter","F","8","14","8","14","","","8","14","8","14","Taumarunui","Manawatu-Whanganui","-38.8826","175.2697",
"Ohakune Public Library","Public","Public Library","Active","","TMPOK","15 Miro Street, , Ohakune","15 Miro Street, , Ohakune -","","+64 6 385 8364","+64 6 385 8628","taum.library@xtra.co.nz","Interloans via TMP","Ruapehu District Libraries, Ohakune Public Library","T","","Judith Green","Library Manager","","+64 6 385 8628","+64 6 385 8364","0","","","","","","","","","","T","F","T","Charter","","8","14","8","14","Interloans via TMP","Interloans via TMP","8","14","8","14","Ohakune","","-39.4173","175.4008",
"Raetihi Public Library","Public","Public Library","Active","","TMPRT","Seddon Street, , Raetihi","Seddon Street, , Raetihi -","","+64 6 385 4155","","","Interloans via TMP","Ruapehu District Libraries, Raetihi Public Library","T","","Pam Griffin","Librarian (with Moira Haitana)","","","+64 6 385 4155","0","","","","","","","","","","F","T","T","Charter","","8","14","8","14","Interloans via TMP","Interloans via TMP","8","14","8","14","Raetihi","","-39.4258390494133","175.275459754665",
"Carter Holt Harvey Forests Library","Other","Business","Active","","TOCH","Grayburn House , Leith Place, Tokoroa","PO Box 648, , Tokoroa -","","+64 7 886 2749","+64 7 886 9632","","","","F","","Lucy Dickinson","Library Assistant (& Acting Library Manager)","","+64 7 886 9632","+64 7 886 2749","Lucy Dickinson","Library Assistant (& Acting Library Manager)","","+64 7 886 2749","","","","","","","F","F","F","tba","F","","","","","","","","","","","Tokoroa","Waikato","-38.2170611576202","175.872314857395",
"South Waikato District Libraries","Public","public library","Active","Te Whare Pukapuka o Tokoroa","TOP","Mannering Street, , Tokoroa","PO Box 245, , Tokoroa - 3444","www.swlibrary.org","+64 7 886 6574","+64 7 886 0335","library.info@southwaikato.govt.nz","LIANZA, PubSIG, CatSIG, Te Röpu Whakahau.","","T","BIC-SIG (Bicultural Special Interest Group)","Andrew Robinson","Libraries Manager","andrew.robinson@southwaikato.govt.nz","+64 7 886 0335","+64 7 885 0793","Jan Glover","Interloans Librarian","jan.glover@southwaikato.govt.nz","+64 7 886 6574","","","","","","","T","T","T","Charter","T","10","14","3","14","$10 std charge loan - only charged if no reciprocal agreement.","","15","25","15","25","Tokoroa","Waikato","-38.2151935806439","175.869541557919",
"Timaru District Library","Public","public library","Active","","TP","56 Sophia Street, , Timaru","PO Box 228, , Timaru - 7940","http://www.timaru.govt.nz/library-website.html","+64 3 687 7202","+64 3 687 7211","library@timdc.govt.nz","","","T","PL-SIG or PUB-SIG (Public Libraries Special Interest Group)","Michelle Miles","Libraries Manager","michelle.miles@timdc.govt.nz","+64 3 687 7211","+64 3 687 7478","Lynley Simmons","Interloans Librarian","interloans@timdc.govt.nz","+64 3 687 7477","","","","","","","T","T","T","Charter","T","14","20","14","20","","","14","20","14","20","Timaru","Canterbury","-44.3957170607889","171.250985612303",
"Taupo Choral Society","Other","Music Hire","Active","","TPC","17 Wheretia Street, , Taupo","PO Box 1201, , Taupo - 3351","","+64 7 378 7775","+64 7 378 4910","ingulfrevfeim@xtra.co.nz","Other contact details:
60 Noble Street, Taupo 3330.
Ph: 07 378 4977","","","","TPC Hire","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Taupo","Waikato","","",
"GNS Science, Wairakei Research Centre Library","Other","Research","Active","Te Pu Ao","TPLB","Karetoto Road, , Taupo","Private Bag 2000, , Taupo - 3352","www.gns.cri.nz","+64 7 374 8211","+64 7 374 8199","s.tawera@gns.cri.nz","Formerly Institute of Geological and Nuclear Sciences, Wairakei Research Centre Library","Wairakei Research Centre Library, GNS Science","T","","Sheena Tawera","Library Manager","s.tawera@gns.cri.nz","","+64 7 376 0154","Sheena Tawera","Interloans Contact","s.tawera@gns.cri.nz","+64 7 376 0154","","","","","","","T","T","T","Charter","T","14","14","14","14","","","34","34","34","34","Taupo","Waikato","-38.6242670888994","176.098672675144",
"Taupo District Libraries","Public","Public Library","Active","","TPP","Story Place, , Taupo","Private Bag 2005, , Taupo - 3352","http://www.taupo.govt.nz/library","+64 7 376 0070","","taupolibrary@taupo.govt.nz","","","T","","Luisa Haines","Library and Museum Manager","lhaines@taupo.govt.nz","","+64 7 376 0070","Kevin Collins","Interloans Librarian","kcollins@taupo.govt.nz","+64 7 376 0070","","","","","","","T","T","T","Charter","T","","25","","25","Reciprocal agreements - charge only if charged.","","14","25","14","25","Taupo","Waikato","-38.6874626643068","176.068893892313",
"Taupo District Council, Mangakino Public Library","Public","Public Library","Ceased","","TPPM","Civic Centre, Rangatira Drive, Mangakino","PO Box 9, , Mangakino - 3421","","+64 7 882 8700","+64 7 882 8330","jheath@taupo.govt.nz","All ILL requests to TPP","Mangakino Public Library, Taupo District Council","F","","Jan Heath","Library Manager","jheath@taupo.govt.nz","","+64 7 882 8700","0","","","","","","","","","","F","F","F","","F","","","","","","","","","","","Mangakino","","","",
"Turangi Library (MERGED Taupo District Libraries)","Public","","SeeRef","","TPPT",", , Turangi",", , Turangi -","","","","","","","F","ANZTLA, LIANZA","0","","","","","0","","","","","","","","","","F","F","F","tba","","","","","","","","","","","","Turangi","","","",
"Twizel Community Library","Public","Public Library","Active","","TWP",", , Twizel",", , Twizel -","","","","","","","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Twizel","","-44.2551462309118","170.096704307614",
